Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2021,The Survivalist,14.131,10,Low_Rated,Action
2004,Paparazzi,14.131,142,Low_Rated,Action
2004,Paparazzi,14.131,142,Low_Rated,Drama
2004,Paparazzi,14.131,142,Low_Rated,Thriller
1991,Fight Back to School,14.13,68,Well_Received,Action
1991,Fight Back to School,14.13,68,Well_Received,Comedy
2007,Code Name: The Cleaner,14.128,188,Low_Rated,Action
2007,Code Name: The Cleaner,14.128,188,Low_Rated,Comedy
2007,Code Name: The Cleaner,14.128,188,Low_Rated,Crime
2020,A Secret Love,14.125,95,Blockbuster,Documentary
2020,An American Pickle,14.124,290,Low_Rated,Comedy
2020,An American Pickle,14.124,290,Low_Rated,Drama
1977,Airport '77,14.124,205,Low_Rated,Action
1977,Airport '77,14.124,205,Low_Rated,Adventure
1977,Airport '77,14.124,205,Low_Rated,Drama
1977,Airport '77,14.124,205,Low_Rated,Thriller
2018,Like Father,14.122,550,Average_Performer,Comedy
2018,Like Father,14.122,550,Average_Performer,Drama
2015,The Ark,14.122,9,Average_Performer,Drama
2015,The Ark,14.122,9,Average_Performer,TV Movie
2012,Freelancers,14.122,164,Low_Rated,Mystery
2012,Freelancers,14.122,164,Low_Rated,Drama
2012,Freelancers,14.122,164,Low_Rated,Action
2012,Freelancers,14.122,164,Low_Rated,Crime
2011,Albert Nobbs,14.122,373,Average_Performer,Drama
